Time (min),liver,spleen,HF1-2CFM-FixVe model
1.0,0.0,-0.00672599,0.0
2.0,0.0,0.00166966,-0.005594741607789722
3.0,0.0,0.00597407,0.005100947802648824
4.0,0.0015498,-0.00085974,0.009641634786368411
5.0,0.08293599,0.05948418,0.08070412851049927
6.0,0.31924963,0.18008603,0.3545524454757974
7.0,0.54505652,0.12239716,0.629224577106808
8.0,0.58129276,0.08580892,0.7272850057053287
9.0,0.55626552,0.06208139,0.7307035247930981
10.0,0.50977515,0.04644978,0.6866843531372685
11.0,0.46764788,0.03602405,0.6222061285682492
12.0,0.41606825,0.02899361,0.55229897397748
13.0,0.37170463,0.02419907,0.4849190784637384
14.0,0.33446744,0.0208869,0.42387386725790055
15.0,0.30084644,0.01856246,0.3705909760925393
16.0,0.27564109,0.01689881,0.3251867333621919
17.0,0.24723152,0.01567886,0.2871053134060168
18.0,0.22849169,0.01475802,0.2554938707105281
19.0,0.20787404,0.01403975,0.22941567705624258
20.0,0.18679151,0.01345951,0.20796483339902264
21.0,0.16915868,0.01297405,0.1903221185629598
22.0,0.15871848,0.0125544,0.17577662890893275
23.0,0.14779374,0.01218109,0.16372831792873885
24.0,0.12860311,0.01184105,0.15368060251569157
25.0,0.12319793,0.01152545,0.14522848018540624
26.0,0.11260052,0.01122833,0.1380452803785439
27.0,0.10366548,0.01094566,0.1318698126175945
28.0,0.09227397,0.01067467,0.12649464600842392
29.0,0.08658912,0.01041347,0.12175592299770645
30.0,0.0783858,0.01016074,0.11752476287577604
31.0,0.07672155,0.00991554,0.11370010861839024
32.0,0.07455285,0.00967721,0.1102029249288361
33.0,0.06866276,0.00944526,0.10697151793940658
34.0,0.06213487,0.00921931,0.10395776213493996
35.0,0.05654037,0.00899908,0.10112413933710959
36.0,0.0519566,0.00878433,0.09844139216090371
37.0,0.04767138,0.00857485,0.09588665187601651
38.0,0.04544056,0.00837048,0.09344202296796414
39.0,0.04302599,0.00817106,0.09109346309308378
40.0,0.03801936,0.00797646,0.08882990853066584
41.0,0.03594186,0.00778654,0.0866425909168318
42.0,0.03290479,0.00760118,0.08452450751125837
43.0,0.02991005,0.00742027,0.08247003861461173
44.0,0.02756181,0.0072437,0.08047463162700963
45.0,0.02715398,0.00707135,0.07853453597379043
46.0,0.02579903,0.00690312,0.07664662683911032
47.0,0.02274006,0.00673892,0.0748082923857587
48.0,0.02021206,0.00657864,0.07301729876430453
49.0,0.01620047,0.00642219,0.0712717027951221
50.0,0.01548704,0.00626948,0.06956980600755387
51.0,0.01603692,0.00612042,0.06791009671807102
52.0,0.01311038,0.00597491,0.06629119332318742
53.0,0.01162642,0.00583288,0.06471183957551987
54.0,0.01272945,0.00569424,0.06317088418174947
55.0,0.01213099,0.0055589,0.06166723312053917
56.0,0.01210121,0.0054268,0.06019987357192546
57.0,0.0094102,0.00529784,0.05876783897623879
58.0,0.00972547,0.00517196,0.057370202385515705
59.0,0.00912129,0.00504908,0.05600608777678155
60.0,0.00436629,0.00492913,0.05600608777678155
