Time,Liver,Spleen,Blood
60,0,-0.00672599,0.00065985
120,0,0.00166966,0.00254369
180,0,0.00597407,-0.00075848
240,0.0015498,-0.00085974,-0.00242049
300,0.08293599,0.05948418,0.03488584
360,0.31924963,0.18008603,0.05185303
420,0.54505652,0.12239716,0.02861786
480,0.58129276,0.08580892,0.02129389
540,0.55626552,0.06208139,0.02012184
600,0.50977515,0.04644978,0.0183223
660,0.46764788,0.03602405,0.01490464
720,0.41606825,0.02899361,0.00928839
780,0.37170463,0.02419907,0.00879178
840,0.33446744,0.0208869,0.01156884
900,0.30084644,0.01856246,0.01160142
960,0.27564109,0.01689881,0.0107445
1020,0.24723152,0.01567886,0.00931483
1080,0.22849169,0.01475802,0.0064838
1140,0.20787404,0.01403975,0.00243371
1200,0.18679151,0.01345951,0.00171355
1260,0.16915868,0.01297405,0.00513391
1320,0.15871848,0.0125544,0.00530911
1380,0.14779374,0.01218109,0.00189929
1440,0.12860311,0.01184105,0.00200243
1500,0.12319793,0.01152545,0.00005911
1560,0.11260052,0.01122833,0.00249841
1620,0.10366548,0.01094566,0.00448524
1680,0.09227397,0.01067467,0.00263223
1740,0.08658912,0.01041347,0.00115142
1800,0.0783858,0.01016074,0.00222547
1860,0.07672155,0.00991554,0.00205043
1920,0.07455285,0.00967721,0.00205963
1980,0.06866276,0.00944526,0.00312771
2040,0.06213487,0.00921931,0.00481489
2100,0.05654037,0.00899908,0.00350246
2160,0.0519566,0.00878433,0.00112869
2220,0.04767138,0.00857485,0.00148397
2280,0.04544056,0.00837048,0.00287198
2340,0.04302599,0.00817106,0.00088258
2400,0.03801936,0.00797646,0.00257385
2460,0.03594186,0.00778654,0.00169492
2520,0.03290479,0.00760118,-0.00182315
2580,0.02991005,0.00742027,-0.00298358
2640,0.02756181,0.0072437,-0.00183775
2700,0.02715398,0.00707135,0.00214167
2760,0.02579903,0.00690312,-0.00157631
2820,0.02274006,0.00673892,-0.00226539
2880,0.02021206,0.00657864,0.00060718
2940,0.01620047,0.00642219,-0.0011702
3000,0.01548704,0.00626948,-0.00179213
3060,0.01603692,0.00612042,-0.00285382
3120,0.01311038,0.00597491,-0.00266963
3180,0.01162642,0.00583288,-0.00154703
3240,0.01272945,0.00569424,-0.00060502
3300,0.01213099,0.0055589,-0.00248811
3360,0.01210121,0.0054268,-0.00594569
3420,0.0094102,0.00529784,-0.00531696
3480,0.00972547,0.00517196,-0.00351305
3540,0.00912129,0.00504908,-0.00455037
3600,0.00436629,0.00492913,-0.00406069
