Time,liver,spleen,blood
0,2385.1,1475,2022.8
57,2380.8,1462.8,2077.7
114,2423.9,1415.6,2009.7
171,2421,1458.3,2026.2
228,2357.2,1465.9,2404.3
285,4533.2,2649.6,3870.2
342,5305.3,1952,3299.3
399,5830.9,1770.7,2692
456,5838.9,1703,2441.7
513,5660,1619,2475
570,5527.9,1551,2530.3
627,5292.9,1598,2396.3
684,5143,1573.3,2585.5
741,4915,1563.7,2427.3
798,4767.8,1609.8,2573.8
855,4651.1,1517,2435
912,4570.7,1475.3,2112.2
969,4331.8,1581.6,2196.5
1026,4155.3,1519.5,2366.3
1083,4110,1439.3,2327
1140,3968.5,1525.5,2284
1197,3953.4,1511.9,2186.7
1254,3778.4,1556.8,2219.3
1311,3673,1520.7,2034.8
1368,3594.5,1498.3,2089.3
1425,3493.5,1460.5,2035
1482,3355.9,1576,2048.5
1539,3324.3,1504.7,2012.3
1596,3246.7,1476.1,2086.8
1653,3236.5,1469.4,1959
