Time (min),liver,spleen,HF1-2CFM+3DSPGR model
0.0,1.0055272108843538,1.00264725347452,1.0007246352498393
0.95,1.0097789115646258,0.9662475181998676,0.9626431499507903
1.9,1.0034013605442176,0.99933818663137,0.9464937284704695
2.85,0.9842687074829932,0.9927200529450696,0.9456252054213518
3.8,0.9970238095238096,1.039046988749173,0.9960294345706702
4.75,1.5837585034013606,1.770350761085374,1.8100046943572492
5.7,2.172619047619048,1.2607544672402384,2.1749411542332617
6.65,2.1875,1.1482461945731306,2.2102271738025023
7.6,2.2087585034013606,1.1184645929847783,2.1907686161422877
8.55,2.2130102040816326,1.055592322964924,2.130087245272063
9.5,2.1534863945578233,1.0622104566512245,2.060439329260334
10.45,2.055697278911565,1.0589013898080744,1.998416328216737
11.4,2.081207482993197,1.072137657180675,1.9509430191191253
12.35,1.94515306122449,1.1184645929847783,1.9448086712859167
13.3,1.8771258503401362,1.085373924553276,1.9337754968185759
14.25,1.8707482993197282,1.0225016545334216,1.8702279676740663
15.2,1.7325680272108845,1.012574454003971,1.7830369474034022
16.15,1.7091836734693877,1.072137657180675,1.7458843401402995
17.1,1.6921768707482994,1.015883520847121,1.6944738321950144
18.05,1.6113945578231295,1.015883520847121,1.6256692699173574
19.0,1.5880102040816326,1.015883520847121,1.5647946205116436
19.95,1.5072278911564627,1.015883520847121,1.5112513506607903
20.9,1.5051020408163267,1.0522832561217739,1.4967211812076193
21.85,1.4668367346938778,1.0622104566512245,1.5099141059258752
22.8,1.4583333333333335,1.0092653871608206,1.4791624018099514
23.75,1.40093537414966,0.982792852415619,1.4030349775259348
24.7,1.3541666666666667,1.0456651224354734,1.3822725938937064
25.65,1.3456632653061225,1.0059563203176705,1.3580249953157981
26.6,1.2988945578231295,1.012574454003971,1.323285973020409
27.55,1.2903911564625852,1.0191925876902714,1.324795015903531
